2022-01-12 18:19:55,698 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2022-01-12 18:19:57,702 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2022-01-12 18:19:59,132 ERROR The WebSocket transport is not available, you must install a WebSocket server that is compatible with your async mode to enable it. See the documentation for details. (further occurrences of this error will be logged with level INFO)
2022-01-12 18:19:59,706 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2022-01-12 18:20:01,710 DEBUG  ROS Time: 0 | active tasks: 0 | terminated tasks: 0 | active robots: 0
2022-01-12 18:20:03,714 DEBUG  ROS Time: 1 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:05,719 DEBUG  ROS Time: 2 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:07,723 DEBUG  ROS Time: 3 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:09,728 DEBUG  ROS Time: 4 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:11,734 DEBUG  ROS Time: 6 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:13,739 DEBUG  ROS Time: 7 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:15,743 DEBUG  ROS Time: 8 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:17,747 DEBUG  ROS Time: 9 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:19,754 DEBUG  ROS Time: 10 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:21,760 DEBUG  ROS Time: 11 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:23,764 DEBUG  ROS Time: 12 | active tasks: 0 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:25,768 DEBUG  ROS Time: 14 | active tasks: 1 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:27,774 DEBUG  ROS Time: 14 | active tasks: 1 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:29,780 DEBUG  ROS Time: 15 | active tasks: 2 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:31,784 DEBUG  ROS Time: 17 | active tasks: 2 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:33,788 DEBUG  ROS Time: 18 | active tasks: 2 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:35,792 DEBUG  ROS Time: 19 | active tasks: 2 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:37,796 DEBUG  ROS Time: 20 | active tasks: 2 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:39,801 DEBUG  ROS Time: 21 | active tasks: 2 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:41,804 DEBUG  ROS Time: 22 | active tasks: 2 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:43,810 DEBUG  ROS Time: 23 | active tasks: 2 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:45,816 DEBUG  ROS Time: 24 | active tasks: 4 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:47,823 DEBUG  ROS Time: 26 | active tasks: 4 | terminated tasks: 0 | active robots: 4
2022-01-12 18:20:49,829 DEBUG  ROS Time: 27 | active tasks: 4 | terminated tasks: 1 | active robots: 4
2022-01-12 18:20:51,838 DEBUG  ROS Time: 35 | active tasks: 5 | terminated tasks: 1 | active robots: 4
2022-01-12 18:20:53,849 DEBUG  ROS Time: 44 | active tasks: 5 | terminated tasks: 1 | active robots: 4
2022-01-12 18:20:55,858 DEBUG  ROS Time: 55 | active tasks: 5 | terminated tasks: 1 | active robots: 4
2022-01-12 18:20:57,868 DEBUG  ROS Time: 65 | active tasks: 5 | terminated tasks: 1 | active robots: 4
2022-01-12 18:20:59,886 DEBUG  ROS Time: 75 | active tasks: 5 | terminated tasks: 1 | active robots: 4
2022-01-12 18:21:01,898 DEBUG  ROS Time: 85 | active tasks: 5 | terminated tasks: 1 | active robots: 4
2022-01-12 18:21:03,910 DEBUG  ROS Time: 95 | active tasks: 5 | terminated tasks: 1 | active robots: 4
2022-01-12 18:21:05,921 DEBUG  ROS Time: 108 | active tasks: 5 | terminated tasks: 1 | active robots: 4
2022-01-12 18:21:07,934 DEBUG  ROS Time: 121 | active tasks: 5 | terminated tasks: 1 | active robots: 4
2022-01-12 18:21:09,945 DEBUG  ROS Time: 134 | active tasks: 5 | terminated tasks: 1 | active robots: 4
